维度,子维度,变量,Label,类型,有效N,缺失数,缺失率(%),类别数,均值,标准差,最小值,最大值,众数Top3
维度7 社会经济背景,教育(3组),Q275R,Highest educational level: Respondent (recoded into 3 groups),连续/有序,96149,1071,1.102,,2.01678644603688,0.8066817179925222,1.0,3.0,
维度7 社会经济背景,配偶教育,Q276,Highest educational level: Respondent´s Spouse [ISCED 2011],连续/有序,61732,35488,36.503,,3.279952050800233,2.027567011686591,0.0,9.0,
维度7 社会经济背景,配偶教育(3组),Q276R,Highest educational level: Respondent´s Spouse (recoded into 3 groups),连续/有序,61701,35519,36.535,,1.9043613555696017,0.8008164023032956,1.0,3.0,
维度7 社会经济背景,父亲教育,Q278,Highest educational level: Respondent´s Father [ISCED 2011],连续/有序,83575,13645,14.035,,2.2595393359258154,1.994636274073202,0.0,9.0,
维度7 社会经济背景,父亲教育(3组),Q278R,Highest educational level: Respondent´s Father (recoded into 3 groups),连续/有序,83524,13696,14.088,,1.5414970547387576,0.7350159515475259,1.0,3.0,
维度7 社会经济背景,就业状态,Q279,Employment status,连续/有序,95987,1233,1.268,,3.12089137070645,2.0608519579427433,1.0,8.0,
维度7 社会经济背景,配偶就业,Q280,Employment status - Respondent´s Spouse,连续/有序,59382,37838,38.92,,2.829611666835068,1.9434330958193258,1.0,9.0,
维度7 社会经济背景,职业大类,Q281,Respondent - Occupational group,分类,90655,6565,6.753,12.0,,,,,1=15111; 0=13042; 4=10993
维度7 社会经济背景,配偶职业,Q282,Respondent´s Spouse - Occupational group,分类,59085,38135,39.225,12.0,,,,,0=9239; 1=8083; 6=6336
维度7 社会经济背景,父亲职业,Q283,Respondent´s Father - Occupational group (when respondent was 14 years old),分类,84148,13072,13.446,12.0,,,,,9=12915; 6=12072; 7=10904
维度7 社会经济背景,就业部门,Q284,Sector of employment,分类,73434,23786,24.466,3.0,,,,,2=48025; 1=19376; 3=6033
维度7 社会经济背景,主要收入来源,Q285,Are you the chief wage earner in your house,二值,94513,2707,2.784,,1.5340852581126405,0.49883948124970623,1.0,2.0,
维度7 社会经济背景,家庭储蓄,Q286,Family savings during past year,连续/有序,94280,2940,3.024,,2.032732286805261,0.9019483558333781,1.0,4.0,
维度7 社会经济背景,社会阶层,Q287P,Social class (subjective),连续/有序,91673,5547,5.706,,2.757802188212451,0.9783160528876391,1.0,5.0,
维度7 社会经济背景,收入等级,Q288,Scale of incomes,连续/有序,94259,2961,3.046,,4.910374606138406,2.0903209788381374,1.0,10.0,
维度7 社会经济背景,收入(重编码),Q288R,Income level (recoded),连续/有序,94259,2961,3.046,,1.8547512704357143,0.5739690480457005,1.0,3.0,
维度7 社会经济背景,种族归属,Q290,Racial belonging/ ethnic group,分类,87619,9601,9.876,432.0,,,,,124001=3195; 156001=3036; 826100=2148
维度7 社会经济背景,国家GDP(现价PPP),GDPpercap1,"GDP per capita, PPP (current international $) [World",国家级(连续),96773,447,0.46,,26034.996149959185,24150.87217861708,0.0,129103.01,
维度7 社会经济背景,国家GDP(不变价PPP),GDPpercap2,"GDP per capita, PPP (constant 2017 international $)",国家级(连续),96773,447,0.46,,24973.22304754426,23153.838025432586,0.0,123965.29,
维度7 社会经济背景,国家Gini,giniWB,,国家级(连续),79976,17244,17.737,,37.12781584475342,6.133085101718164,24.9,53.9,
维度7 社会经济背景,国家HDI,hdi,,国家级(连续),93400,3820,3.929,,0.7758088115631692,0.11517928363720858,0.47,0.939,
维度7 社会经济背景,互联网普及率,internetusers,"Internet users, total (% of population) [ITU, 2017-",国家级(连续),93400,3820,3.929,,63.64690364025696,23.484178010348373,15.0,95.9,
